serial_no,location
b9d731a480c1c762b998725d9440e742,Usera
b9f54cd0d2458d584a0431511ad933c6,Usera
bb31c1cd7d5c60627329603fcbe0eb1c,Usera
bb489453e8560acf72c9addaa63d682e,Carabanchel
bb8faeced24ac8b294225789f9db7691,Latina
bc155ec0b114c582c378e70909f9a318,Chamberí
bc9f296f484b358a6cc832d1bcf11e9d,Salamanca
beac9182e2d3b1df04aad455425aca61,Arganzuela
bf04cf33cdfd594e163f7248e1736e2f,Usera
bfaa8df3e479d0a7dfc3288346ac5cca,Salamanca
c15158b2a79f3aafe2cf69a130a51616,Chamberí
c1fcd28679cdaa7e4d56a40505ba5b53,Retiro
c25bf7b98a2b24f42b0de6d986ff43b6,Villa de Vallecas
c2bf9d7ef3fa77b987ac736ca04fc482,Villaverde
c3ee8568d3e86623a73468d30ddd14ba,Latina
c66ea2ee49c131893fd2fa6d862a032c,Salamanca
c88f79b75eb79f103ee3a2b63074f791,Ciudad Lineal
c9138b9fb06c455775347dc566f69348,Salamanca
c9bc20163b1001e21530d1ef96214683,Arganzuela
cbfd0f55905601b91b883c84d31441f4,Ciudad Lineal
cd219831ef8e5cf57b367c171a8cc9af,Puente de Vallecas
cfbeef6b36c10196de7915a8cef996bd,Ciudad Lineal
d289e2810886cebedac3acea6f1e6673,Latina
d3166e5ac920666ad57d4f3f856cd1d9,Arganzuela
d3f9fe722184baedd5f469a70a9c4d68,Latina
d79222e5a253f7810278469f07d59451,Moncloa-Aravaca
db6fa64a3c7e3d56799801c7c6c6f8e7,Usera
dc1b070e2b78e5e0ded043e666be1647,Carabanchel
ddb2c45dab5a1bcec48c87373369d7ec,Puente de Vallecas
e06e532d50c712ffba7de8053b2186b3,Retiro
e0b9ef4bdf839790badfc11e0e7c905d,Usera
e2977d2f9adf89d4da317c87e2787070,Salamanca
e2b7209734a135f152e352ca6a2dff42,Tetuán
e36054555f685034c142a610ce43f5b8,Vicálvaro
e378a26f3dfd47626a68683e913ce9d0,Salamanca
e4079184b8b4253ea7d6cc238bc1570c,Retiro
e42af8ced436c5bc342935b85609ec06,Puente de Vallecas
e6de5304c812bf16215b427b0116a915,Carabanchel
e6f210ed2c73d43e1aebcb7d2abd284b,Villaverde
e7e06b58d3b1769c47da96bbcea2e639,Vicálvaro
e99b099f03486becde36bc6c03c0c78e,Puente de Vallecas
e9d200acc13444b5e6704631b0f6421a,Chamberí
ea346f1d4fae05cb540950d69be7927a,Fuencarral-El Pardo
ec45c4746980ad54666b5048d81874b6,Salamanca
ed4b27a7ae0223a23546f57f8f4c7103,Centro
ef9fd15a02c473ac1cbb27dff3a8f524,Carabanchel
efdf31a65a43323c9276f04220d8b9b5,Chamberí
f0fab42bf8ba0c9c07804c480e6b515d,Arganzuela
f335dedf31c690998af6f370b6b25f40,Centro
f3c4e845f2accf531e0e5a019699f5a1,Latina
f3c5fa3d9097f92efb3ebfab702ac527,Vicálvaro
f402e4f9b48cfa118bcb9a81e6ab04e7,Hortaleza
f44cceae2ca175ae41af47a222ef0afb,Latina
f7c20c75adee40662bb62124edc20166,Puente de Vallecas
f889ae4e74746fc5e9b0f0345a91798c,Fuencarral-El Pardo
f8994f6436c9e7155d6a56bbbef6d9a6,Chamartín
f8d51638712d40d19608edef15dbe219,Salamanca
fa0203b648f07dc642c1b383f34b0e0a,Fuencarral-El Pardo
fa887dbf4edc54000c1e3e9888b3ee2d,Carabanchel
fc695a3b85fd0c658ad9e1ee78d718ee,Puente de Vallecas
fc9fcfa5d4bb65ccf0ee34a17ea5b048,Latina
fceeaec103da3db7d85937e074708328,Tetuán
fdd6bba2eb2695e9a7efbb8260974aca,Latina
fe40779caf94979a5d8c303e1d9e9fdf,Retiro
febe7f47eadec078490265f1474707d9,Villaverde
